Extension,Custom group (title),Group machine name,Extends entity,Extends sub-type / case-type,Field label,Field machine name,Column name,Data type,HTML type,Option group,Multi-value,Required,Searchable,View-only,Source,Calculated,Current help_pre,Current help_post,Proposed help_post,Security/ACL,Owner,Status,Last reviewed
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Tech cluster 6,Tech_cluster_6,tech_cluster_6,String,Select,eic_primary_sector,No,No,No,No,Import / manual,No,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Field Of Science,Field_Of_Science,field_of_science,String,Text,,No,No,No,No,Import / manual,No,,,"Free-text field-of-science classification. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Free Keywords,Free_Keywords,free_keywords,Memo,TextArea,,No,No,No,No,Import / manual,No,,,"Free-text keywords describing the project. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Termination,Termination,termination,String,Select,EIC_Horizon_Europe_Project_Activity_Termination,No,No,No,No,Import / manual,No,,,"Reason the project was terminated, if applicable: GAP termination / EU request / Beneficiary request. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Associated Partners,Associated_Partners,associated_partners,ContactReference,Autocomplete-Select,filter EIC_Awardee,Yes,No,No,No,Import / manual,No,,,"Associated partner organisations (not full consortium members). Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Terminated Partners,Terminated_Partners,terminated_partners,ContactReference,Autocomplete-Select,filter EIC_Awardee,Yes,No,No,No,Import / manual,No,,,"Partners that left or were terminated from the project. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Phase,Phase,phase,String,Select,EIC_Horizon_Europe_Project_Activity_Phase,No,No,No,No,Import / manual,No,,,"Project phase: Phase 1 or Phase 2 (e.g. SME Instrument style). Source: import / manual.",,,Active,
eic_eu_survey_form_processor,EIC Awardee information,EIC_Awardee_information,Case,eic_awardee_onboarding / all eic_sr_* Service Request cases,EIC Title,EIC_Title,eic_title,String,Text,,No,No,No,No,Form processor (onboarding case import),No,,,"Case title marker for onboarding cases (default 'EIC Awardee Onboarding'). Used together with PIC and Project ID to match the correct case. Source: onboarding case import.",,,Active,
eic_eu_survey_form_processor,EIC Awardee information,EIC_Awardee_information,Case,eic_awardee_onboarding / all eic_sr_* Service Request cases,Organisation PIC number,Organisation_PIC_number,organisation_pic_number,String,Text,,No,No,No,No,Form processor,No,,,"The beneficiary company PIC stored on the case, used to match the case to the company. Source: onboarding case import.",,,Active,
eic_eu_survey_form_processor,EIC Awardee information,EIC_Awardee_information,Case,eic_awardee_onboarding / all eic_sr_* Service Request cases,EIC Project ID,EIC_Project_ID,eic_project_id,String,Text,,No,No,No,No,Form processor,No,,,"EIC Project ID (proposal number) from the EU-Survey; also used to match the corresponding EIC Awardee Project activity by Project Number. Source: onboarding case import.",,,Active,
eic_eu_survey_form_processor,EIC Awardee information,EIC_Awardee_information,Case,eic_awardee_onboarding / all eic_sr_* Service Request cases,EIC Project Acronym,EIC_Project_Acronym,eic_project_acronym,String,Text,,No,No,No,No,Form processor,No,,,"EIC Project Acronym from the EU-Survey; fallback match for the EIC Awardee Project activity (on activity subject). Source: onboarding case import.",,,Active,
eic_eu_survey_form_processor,EIC Awardee information,EIC_Awardee_information,Case,eic_awardee_onboarding / all eic_sr_* Service Request cases,EIC Project (activity),EIC_Project_Activity,eic_project_activity,EntityReference,Autocomplete-Select,,No,No,No,No,Form processor,No,,,"Clickable link to the matched EIC Awardee Project activity. Source: onboarding case import.",,,Active,
eic_eu_survey_form_processor,EIC Awardee information,EIC_Awardee_information,Case,eic_awardee_onboarding / all eic_sr_* Service Request cases,Funding,Project_Funding,project_funding,String,Text,,No,No,No,No,Form processor (copied from project),No,,,"Project funding scheme copied from the matched EIC Project activity at case creation. Source: onboarding case import.",,,Active,
eic_eu_survey_form_processor,EIC Awardee information,EIC_Awardee_information,Case,eic_awardee_onboarding / all eic_sr_* Service Request cases,Category,Project_Category,project_category,String,Select,EIC_Horizon_Europe_Project_Activity_Category,No,No,No,No,Form processor (copied from project),No,,,"Project category copied from the matched EIC Project activity at case creation. Source: onboarding case import.",,,Active,
eic_eu_survey_form_processor,EIC Awardee information,EIC_Awardee_information,Case,eic_awardee_onboarding / all eic_sr_* Service Request cases,Funding Type,Project_Funding_Type,project_funding_type,String,Text,,No,No,No,No,Form processor (copied from project),No,,,"Project funding type copied from the matched EIC Project activity at case creation. Source: onboarding case import.",,,Active,
eic_eu_survey_form_processor,EIC Awardee information,EIC_Awardee_information,Case,eic_awardee_onboarding / all eic_sr_* Service Request cases,Cut-Off-Date,Project_Cut_Off_Date,project_cut_off_date,String,Text,,No,No,No,No,Form processor (copied from project),No,,,"Project cut-off date copied from the matched EIC Project activity at case creation. Source: onboarding case import.",,,Active,
eic_eu_survey_form_processor,Self-Assessed information,EU_Survey_Company_Data,Organization,(all organisations),CEO or project leader gender,CEO_or_project_leader_gender,,String,Select,eu_survey_gender,No,No,No,Yes,Form processor (survey),No,,,"CEO or project leader gender, self-assessed by the Awardee via the onboarding survey. Company-level view-only value.",,,Active,
eic_eu_survey_form_processor,Self-Assessed information,EU_Survey_Company_Data,Organization,(all organisations),Founder Gender,Founder_Gender,,String,Select,eu_survey_gender,No,No,No,Yes,Form processor (survey),No,,,"Founder gender, self-assessed by the Awardee via the onboarding survey. Company-level view-only value.",,,Active,
eic_eu_survey_form_processor,Self-Assessed information,EU_Survey_Company_Data,Organization,(all organisations),Sector,Sector,,String,Select,eu_survey_sector,Yes,No,No,Yes,Form processor (survey),No,,,"Sector(s) self-assessed by the Awardee. Cumulates every value reported across all the company's projects. View-only.",,,Active,
eic_eu_survey_form_processor,Self-Assessed information,EU_Survey_Company_Data,Organization,(all organisations),TRL,TRL,,String,Select,eu_survey_trl,Yes,No,No,Yes,Form processor (survey),No,,"Technology Readiness Level (TRL). Self-assessed by the Awardee. This field cumulates all the values reported by the Awardee across every project linked to them.","Technology Readiness Level (TRL). Self-assessed by the Awardee. This field cumulates all the values reported by the Awardee across every project linked to them.",,,Active,help_post already set
eic_eu_survey_form_processor,Self-Assessed information,EU_Survey_Company_Data,Organization,(all organisations),CRL,CRL,,String,Select,eu_survey_crl,Yes,No,No,Yes,Form processor (survey),No,,"Commercial Readiness Level (CRL). Self-assessed by the Awardee. This field cumulates all the values reported by the Awardee across every project linked to them.","Commercial Readiness Level (CRL). Self-assessed by the Awardee. This field cumulates all the values reported by the Awardee across every project linked to them.",,,Active,help_post already set
eic_eu_survey_form_processor,Self-Assessed information,EU_Survey_Company_Data,Organization,(all organisations),BRL,BRL,,String,Select,eu_survey_brl,Yes,No,No,Yes,Form processor (survey),No,,"Business Readiness Level (BRL). Self-assessed by the Awardee. This field cumulates all the values reported by the Awardee across every project linked to them.","Business Readiness Level (BRL). Self-assessed by the Awardee. This field cumulates all the values reported by the Awardee across every project linked to them.",,,Active,help_post already set
eic_eu_survey_form_processor,Self-Assessed information,EU_Survey_Company_Data,Organization,(all organisations),FRL,FRL,,String,Select,eu_survey_frl,Yes,No,No,Yes,Form processor (survey),No,,"Funding Readiness Level (FRL). Self-assessed by the Awardee. This field cumulates all the values reported by the Awardee across every project linked to them.","Funding Readiness Level (FRL). Self-assessed by the Awardee. This field cumulates all the values reported by the Awardee across every project linked to them.",,,Active,help_post already set
eic_eu_survey_form_processor,Self-Assessed information (by company),eic_project_self_assessed,Activity,EIC_Awardee_Project,CEO or project leader gender,CEO_or_project_leader_gender,ceo_or_project_leader_gender,String,Select,eu_survey_gender,No,No,No,Yes,Form processor (survey),No,,"CEO or project leader gender. Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.","CEO or project leader gender. Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.",,,Active,help_post already set
eic_eu_survey_form_processor,Self-Assessed information (by company),eic_project_self_assessed,Activity,EIC_Awardee_Project,Founder Gender,Founder_Gender,founder_gender,String,Select,eu_survey_gender,No,No,No,Yes,Form processor (survey),No,,"Founder gender. Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.","Founder gender. Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.",,,Active,help_post already set
eic_eu_survey_form_processor,Self-Assessed information (by company),eic_project_self_assessed,Activity,EIC_Awardee_Project,Sector,Sector,sector,String,Select,eu_survey_sector,No,No,No,Yes,Form processor (survey),No,,"Sector. Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.","Sector. Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.",,,Active,help_post already set
eic_eu_survey_form_processor,Self-Assessed information (by company),eic_project_self_assessed,Activity,EIC_Awardee_Project,TRL,TRL,trl,String,Select,eu_survey_trl,No,No,No,Yes,Form processor (survey),No,,"Technology Readiness Level (TRL). Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.","Technology Readiness Level (TRL). Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.",,,Active,help_post already set
eic_eu_survey_form_processor,Self-Assessed information (by company),eic_project_self_assessed,Activity,EIC_Awardee_Project,CRL,CRL,crl,String,Select,eu_survey_crl,No,No,No,Yes,Form processor (survey),No,,"Commercial Readiness Level (CRL). Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.","Commercial Readiness Level (CRL). Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.",,,Active,help_post already set
eic_eu_survey_form_processor,Self-Assessed information (by company),eic_project_self_assessed,Activity,EIC_Awardee_Project,BRL,BRL,brl,String,Select,eu_survey_brl,No,No,No,Yes,Form processor (survey),No,,"Business Readiness Level (BRL). Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.","Business Readiness Level (BRL). Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.",,,Active,help_post already set
eic_eu_survey_form_processor,Self-Assessed information (by company),eic_project_self_assessed,Activity,EIC_Awardee_Project,FRL,FRL,frl,String,Select,eu_survey_frl,No,No,No,Yes,Form processor (survey),No,,"Funding Readiness Level (FRL). Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.","Funding Readiness Level (FRL). Self-assessed by a representative of the EIC Awardee via the onboarding survey. This value applies to this specific project.",,,Active,help_post already set
eic_eu_survey_form_processor,Survey - Company Data,srm_survey_company_snapshot,Activity,eic_accelerator_onboarding_survey,Organisation Name,Organisation_Name,organisation_name,String,Text,,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the company name at survey submission time. Part of the survey audit trail.",,,Active,
eic_eu_survey_form_processor,Survey - Company Data,srm_survey_company_snapshot,Activity,eic_accelerator_onboarding_survey,PIC Number,PIC_Number,pic_number,String,Text,,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the company PIC at survey submission time. Part of the survey audit trail.",,,Active,
eic_eu_survey_form_processor,Survey - Company Data,srm_survey_company_snapshot,Activity,eic_accelerator_onboarding_survey,Company/Project Website,Website,website,String,Text,,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the company/project website at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Company Data,srm_survey_company_snapshot,Activity,eic_accelerator_onboarding_survey,CEO or project leader gender,CEO_or_project_leader_gender,ceo_project_leader_gender,String,Select,eu_survey_gender,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the declared CEO/project-leader gender at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Company Data,srm_survey_company_snapshot,Activity,eic_accelerator_onboarding_survey,Founder Gender,Founder_Gender,founder_gender,String,Select,eu_survey_gender,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the declared founder gender at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Company Data,srm_survey_company_snapshot,Activity,eic_accelerator_onboarding_survey,Sector,Sector,sector,String,Select,eu_survey_sector,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the declared sector at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Company Data,srm_survey_company_snapshot,Activity,eic_accelerator_onboarding_survey,TRL Self-Assessed,TRL,trl,String,Select,eu_survey_trl,Yes,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the declared TRL at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Company Data,srm_survey_company_snapshot,Activity,eic_accelerator_onboarding_survey,CRL Self-Assessed,CRL,crl,String,Select,eu_survey_crl,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the declared CRL at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Company Data,srm_survey_company_snapshot,Activity,eic_accelerator_onboarding_survey,BRL Self-Assessed,BRL,brl,String,Select,eu_survey_brl,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the declared BRL at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Company Data,srm_survey_company_snapshot,Activity,eic_accelerator_onboarding_survey,FRL Self-Assessed,FRL,frl,String,Select,eu_survey_frl,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the declared FRL at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Main Contact Data,srm_survey_contact_snapshot,Activity,eic_accelerator_onboarding_survey,First name,First_Name,first_name,String,Text,,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the main contact first name at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Main Contact Data,srm_survey_contact_snapshot,Activity,eic_accelerator_onboarding_survey,Last name,Last_Name,last_name,String,Text,,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the main contact last name at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Main Contact Data,srm_survey_contact_snapshot,Activity,eic_accelerator_onboarding_survey,Professional email,Professional_Email,professional_email,String,Text,,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the main contact professional email at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Main Contact Data,srm_survey_contact_snapshot,Activity,eic_accelerator_onboarding_survey,Phone number,Phone_Number,phone_number,String,Text,,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the main contact phone number at survey submission time.",,,Active,
eic_eu_survey_form_processor,Survey - Main Contact Data,srm_survey_contact_snapshot,Activity,eic_accelerator_onboarding_survey,Role in the organisation,Role_In_Organisation,role_in_organisation,String,Text,,No,No,No,No,Form processor (survey snapshot),No,,,"Snapshot of the main contact's declared role at survey submission time.",,,Active,
eic_eu_survey_form_processor,EIC VentureMatch Service Request,eic_sr_venturematch_data,Case,eic_sr_venturematch,What fundraising support do you need most?,fundraising_support_needed,fundraising_support_needed,String,Text,,No,No,No,No,Form processor,No,,,"The fundraising support the beneficiary needs most. Source: EU-Survey answer. VentureMatch service request context.",,,Active,
