Custom Group,Extends (entity / sub-type),Label,Machine name,Column name,Data type,HTML type,Options,Required,Searchable,Source,Current help_pre,Current help_post,Proposed help_post,Notes
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Master,Master,master_sector,String,Select,Green (G) / Digital (D) / Health (H) / Social (S),No,No,Import / manual (candidate: calculated),,,"Master sector (Green / Digital / Health / Social). Recommended: Calculated from the Primary sector code prefix (G./D./H./S.). Source: import / manual for now.",Calculated candidate - derive from Primary prefix
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Primary,Primary,primary_sector,String,Select,eic_primary_sector (option values carry descriptions),No,No,Import / manual,,,"Primary EIC sector for the project. Option values carry their own descriptions. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Subsector 1,Subsector_1,subsector_1,String,Select,eic_primary_sector,No,No,Import / manual,,,"Secondary EIC sector classification. Same option list as Primary. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Subsector 2,Subsector_2,subsector_2,String,Select,eic_primary_sector,No,No,Import / manual,,,"Secondary EIC sector classification. Same option list as Primary. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Tech cluster 1,Tech_cluster_1,tech_cluster_1,String,Select,eic_primary_sector,No,No,Import / manual,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Tech cluster 2,Tech_cluster_2,tech_cluster_2,String,Select,eic_primary_sector,No,No,Import / manual,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Tech cluster 3,Tech_cluster_3,tech_cluster_3,String,Select,eic_primary_sector,No,No,Import / manual,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Tech cluster 4,Tech_cluster_4,tech_cluster_4,String,Select,eic_primary_sector,No,No,Import / manual,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Tech cluster 5,Tech_cluster_5,tech_cluster_5,String,Select,eic_primary_sector,No,No,Import / manual,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Tech cluster 6,Tech_cluster_6,tech_cluster_6,String,Select,eic_primary_sector,No,No,Import / manual,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Field Of Science,Field_Of_Science,field_of_science,Text (512),Text,,No,No,Import / manual,,,"Free-text field-of-science classification. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Free Keywords,Free_Keywords,free_keywords,Memo,TextArea,,No,No,Import / manual,,,"Free-text keywords describing the project. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Termination,Termination,termination,String,Select,GAP termination / EU request / Beneficiary request,No,No,Import / manual,,,"Reason the project was terminated, if applicable: GAP termination / EU request / Beneficiary request. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Associated Partners,Associated_Partners,associated_partners,ContactReference (multi),Autocomplete-Select,filter: EIC_Awardee,No,No,Import / manual,,,"Associated partner organisations (not full consortium members). Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Terminated Partners,Terminated_Partners,terminated_partners,ContactReference (multi),Autocomplete-Select,filter: EIC_Awardee,No,No,Import / manual,,,"Partners that left or were terminated from the project. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Phase,Phase,phase,String,Select,Phase 1 / Phase 2,No,No,Import / manual,,,"Project phase: Phase 1 or Phase 2 (e.g. SME Instrument style). Source: import / manual.",
